forward to the competent authority -> phase application received (frequency = 361, performance = 1.00)
send confirmation receipt_85yThOd_20140501 070134000000 -> send confirmation receipt_79KxZAn_20140501 070135000000 (frequency = 1, performance = 1.00)
send confirmation receipt_86AWdBg_20131114 080102000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_86uJonF_20110901 203953000000 -> send procedure confirmation (frequency = 1, performance = 11.00)
send confirmation receipt_87DuhhT_20110912 170917000000 -> enter senddate procedure confirmation (frequency = 1, performance = 63.00)
send confirmation receipt_87FzyOe_20121011 154123000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_87GgvFH_20111013 211211000000 -> send procedure confirmation (frequency = 1, performance = 22.00)
send confirmation receipt_87mhiJO_20120326 184254000000 -> send procedure confirmation (frequency = 1, performance = 223.00)
send confirmation receipt_87orliC_20120424 214617000000 -> send confirmation receipt_59zcJGF_20120424 214621000000 (frequency = 1, performance = 4.00)
send confirmation receipt_87pOyTT_20130328 205659000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_87xBnGD_20111121 194149000000 -> send procedure confirmation (frequency = 1, performance = 9.00)
send confirmation receipt_88rghOK_20130402 213615000000 -> send confirmation receipt_54jmlhM_20130402 215013000000 (frequency = 1, performance = 838.00)
send confirmation receipt_88ukYsx_20120604 172116000000 -> send confirmation receipt_06VixBe_20120604 172508000000 (frequency = 1, performance = 232.00)
send confirmation receipt_89BaAJI_20111207 175042000000 -> send procedure confirmation (frequency = 1, performance = 8.00)
send confirmation receipt_89sPXML_20140512 070024000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_89zkXyV_20140522 070147000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_90EAkbb_20140414 070039000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_90HdIqp_20140403 070056000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_90fCUiz_20110816 221202000000 -> send procedure confirmation (frequency = 1, performance = 24.00)
send confirmation receipt_90kVHRH_20140320 080050000000 -> send confirmation receipt_14PaQlH_20140320 080051000000 (frequency = 1, performance = 1.00)
send confirmation receipt_90vqZCr_20150119 080053000000 -> create procedure confirmation (frequency = 1, performance = 777574.00)
send confirmation receipt_91OCWJZ_20130314 191947000000 -> send confirmation receipt_40wPlMJ_20130314 192211000000 (frequency = 1, performance = 144.00)
send confirmation receipt_91papaj_20131030 080033000000 -> send confirmation receipt_38bjMSa_20131030 080034000000 (frequency = 1, performance = 1.00)
send confirmation receipt_92ApPym_20130201 160723000000 -> regular procedure without MER (frequency = 1, performance = 1558.00)
send confirmation receipt_92HAnvZ_20131219 080029000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_92watNc_20140228 080137000000 -> send confirmation receipt_46MchHo_20140228 080138000000 (frequency = 1, performance = 1.00)
send confirmation receipt_92yuMPk_20130108 230145000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_93BmaXi_20140522 070146000000 -> send confirmation receipt_89zkXyV_20140522 070147000000 (frequency = 1, performance = 1.00)
send confirmation receipt_93LvXdN_20110829 233950000000 -> send confirmation receipt_80sIhLc_20110829 233951000000 (frequency = 1, performance = 1.00)
send confirmation receipt_93hiFEg_20111020 164109000000 -> send procedure confirmation (frequency = 1, performance = 15.00)
send confirmation receipt_93lKpvX_20121115 202334000000 -> regular procedure without MER (frequency = 1, performance = 1222775.00)
send confirmation receipt_94AjdZK_20120117 181949000000 -> send procedure confirmation (frequency = 1, performance = 7.00)
send confirmation receipt_95NMyRH_20150105 080045000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_95YGsNA_20140602 070108000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_95bOuRX_20111024 192134000000 -> send procedure confirmation (frequency = 1, performance = 9.00)
send confirmation receipt_95eKaJB_20110912 223424000000 -> send procedure confirmation (frequency = 1, performance = 1.00)
send confirmation receipt_95gJPSM_20140324 080039000000 -> send confirmation receipt_61qMUJG_20140324 080040000000 (frequency = 1, performance = 1.00)
send confirmation receipt_95tVpys_20140721 070104000000 -> send confirmation receipt_48WNLmc_20140721 070105000000 (frequency = 1, performance = 1.00)
send confirmation receipt_96HEUMj_20120910 153353000000 -> regular procedure without MER (frequency = 1, performance = 287.00)
send confirmation receipt_96PTQfL_20141027 080035000000 -> stop all running subcases 2b (frequency = 1, performance = 1.00)
send confirmation receipt_96eVjKK_20120322 194058000000 -> enter senddate procedure confirmation (frequency = 1, performance = 7183746.00)
send confirmation receipt_96mgzFq_20130103 223152000000 -> send confirmation receipt_51Hhwcc_20130103 223212000000 (frequency = 1, performance = 20.00)
send confirmation receipt_96pzWqW_20120913 195244000000 -> regular procedure without MER (frequency = 1, performance = 3.00)
send confirmation receipt_97USixy_20140724 070007000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_97yRsmn_20130516 070039000000 -> send confirmation receipt_09RogdF_20130516 070040000000 (frequency = 1, performance = 1.00)
send confirmation receipt_98jsTnc_20121015 185500000000 -> send confirmation receipt_24YJkzb_20121015 185639000000 (frequency = 1, performance = 99.00)
send confirmation receipt_98nqPYI_20140602 070107000000 -> send confirmation receipt_95YGsNA_20140602 070108000000 (frequency = 1, performance = 1.00)
send confirmation receipt_98yiAEd_20140724 070006000000 -> send confirmation receipt_97USixy_20140724 070007000000 (frequency = 1, performance = 1.00)
send confirmation receipt_99EnFYe_20141006 070019000000 -> start WABOprocedure (frequency = 1, performance = 1.00)
send confirmation receipt_99UkZVb_20130718 070020000000 -> send confirmation receipt_25GNZtI_20130718 070021000000 (frequency = 1, performance = 1.00)
send continuation letter -> phase advice known (frequency = 1, performance = 24.00)
send continuation letter -> request complete_57ftRzH_20110728 182333000000 (frequency = 1, performance = 116.00)
send decision suspension -> enter senddate decision suspension (frequency = 1, performance = 2.00)
send decision suspension -> register date environmental permit decision (frequency = 1, performance = 7945608.00)
send decision suspension -> set decision phase suspension sent (frequency = 1, performance = 1.00)
send design decision to stakeholders -> creating cover letter decision (frequency = 1, performance = 86366.00)
send design decision to stakeholders -> enter date advice on treatment of environmental permit (frequency = 1, performance = 86388.00)
send design decision to stakeholders -> enter date draft decisionenvironmental permit (frequency = 1, performance = 86398.00)
send design decision to stakeholders -> entering senddate draft decision environmental permit (frequency = 1, performance = 950395.00)
send design decision to stakeholders -> final VVGB applications (frequency = 1, performance = 29.00)
send design decision to stakeholders -> perspective from GS or VROM received (frequency = 1, performance = 4928396.00)
send design decision to stakeholders -> register date environmental permit decision (frequency = 1, performance = 17.00)
send design decision to stakeholders -> set decision status (frequency = 1, performance = 1.00)
send design decision to stakeholders -> suspend term (frequency = 1, performance = 1.00)
send letter in progress -> ask stakeholders views (frequency = 1, performance = 172794.00)
send letter in progress -> assessment of content completed (frequency = 1, performance = 70878186.00)
send letter in progress -> create cover letter extend procedure term (frequency = 1, performance = 172799.00)
send letter in progress -> creating environmental permit decision (frequency = 1, performance = 67793.00)
send letter in progress -> procedure change (frequency = 1, performance = 4.00)
send letter in progress -> register date environmental permit decision (frequency = 1, performance = 497.00)
send letter in progress -> registration date publication (frequency = 1, performance = 1063610.00)
send letter in progress -> start WABOprocedure (frequency = 1, performance = 1.00)
send letter in progress -> stop all running subcases 2b (frequency = 1, performance = 1.00)
send letter in progress -> subcase art. 33 WABO completed (frequency = 1, performance = 1.00)
send procedure confirmation -> article 33 applies (frequency = 1, performance = 17222783.00)
send procedure confirmation -> assessment of content completed (frequency = 1, performance = 5766154.00)
send procedure confirmation -> create publication document (frequency = 1, performance = 290.00)
send procedure confirmation -> creating decision procedure term extension (frequency = 1, performance = 1.00)
send procedure confirmation -> date draft decision for inspection (frequency = 1, performance = 2645052.00)
send procedure confirmation -> enter date advice on treatment of environmental permit (frequency = 1, performance = 652121.00)
send procedure confirmation -> enter date draft decisionenvironmental permit (frequency = 1, performance = 1605506.00)
send procedure confirmation -> enter senddate decision environmental permit_66tzaNu_20130909 070001000000 (frequency = 1, performance = 30546684.00)
send procedure confirmation -> enter senddate decision procedure term extension (frequency = 1, performance = 4062660.00)
send procedure confirmation -> enter senddate decision suspension (frequency = 1, performance = 2725176.00)
send procedure confirmation -> enter senddate request termination (frequency = 1, performance = 32598.00)
send procedure confirmation -> forward transcript to stakeholders (frequency = 1, performance = 442308.00)
send procedure confirmation -> grounds for refusal (frequency = 1, performance = 4.00)
send procedure confirmation -> phase application receptive (frequency = 1, performance = 2850839.00)
send procedure confirmation -> phase procedure aborted (frequency = 1, performance = 85138.00)
send procedure confirmation -> procedure change after completeness (frequency = 1, performance = 2255340.00)
send procedure confirmation -> receive additional information (frequency = 1, performance = 79855271.00)
send procedure confirmation -> record date of decision environmental permit (frequency = 1, performance = 4061846.00)
send procedure confirmation -> register deadline (frequency = 1, performance = 570694.00)
send procedure confirmation -> request complete_01OoAVk_20120713 173359000000 (frequency = 1, performance = 3105437.00)
send procedure confirmation -> request complete_06DPXsx_20120323 193036000000 (frequency = 1, performance = 3870873.00)
send procedure confirmation -> request complete_10bbTgH_20120116 192419000000 (frequency = 1, performance = 2080424.00)
send procedure confirmation -> request complete_14TCFmX_20120913 190228000000 (frequency = 1, performance = 1211450.00)
send procedure confirmation -> request complete_17HtmTz_20111117 213940000000 (frequency = 1, performance = 611670.00)
send procedure confirmation -> request complete_17fZYRH_20120712 220756000000 (frequency = 1, performance = 3300162.00)
send procedure confirmation -> request complete_18FcqSa_20121001 192243000000 (frequency = 1, performance = 1560194.00)
send procedure confirmation -> request complete_22brRjz_20130115 191625000000 (frequency = 1, performance = 4047193.00)
send procedure confirmation -> request complete_25UGOpy_20120611 225902000000 (frequency = 1, performance = 1819560.00)
send procedure confirmation -> request complete_28dOgvl_20120709 231323000000 (frequency = 1, performance = 3993562.00)
send procedure confirmation -> request complete_32jPOLi_20121005 174428000000 (frequency = 1, performance = 1893098.00)
send procedure confirmation -> request complete_37NDCoP_20120716 192457000000 (frequency = 1, performance = 3296887.00)
send procedure confirmation -> request complete_40nNmtj_20110630 193643000000 (frequency = 1, performance = 183.00)
send procedure confirmation -> request complete_40noJjK_20120913 213217000000 (frequency = 1, performance = 54.00)
send procedure confirmation -> request complete_40pRxuW_20121030 175108000000 (frequency = 1, performance = 1649379.00)
send procedure confirmation -> request complete_43LeZKM_20120124 231722000000 (frequency = 1, performance = 2873372.00)
send procedure confirmation -> request complete_43nUOzS_20110822 192033000000 (frequency = 1, performance = 508087.00)
send procedure confirmation -> request complete_49wtQQJ_20121003 015917000000 (frequency = 1, performance = 1938034.00)
